Alimento;Energia;Proteine;Carboidrati;Lipidi    
;(kcal);(g);(g);(g)
OSTRICA ;69;10,2;5,4;0,9
PANCETTA AFFUMICATA O BACON     ;276;15,8;0;23,6
PANE DI GRANO DURO     ;245;10,1;49,1;2,3
PANE GRATTUGIATO       ;354;11,6;77,5;1,9
PAPRIKA   in polvere    ;306;14,8;34,8;13
PARMIGIANO        ;374;36;0;25,6
PASTA ALL'UOVO, fresca      ;309;11,8;63,2;2,8
PASTA FROLLA       ;480;7,7;61,3;24,3
PASTA SFOGLIA       ;560;5,6;45,9;40,6
PATATE        ;85;2,1;18;1
PECORA        ;293;17;0;25
PECORINO        ;366;28,5;0;28
PEPE NERO       ;255;10,9;38,3;3,3
PEPERONCINI PICCANTI       ;25;1,8;3,8;0,5
PEPERONI DOLCI       ;22;0,9;4,2;0,3
PERA        ;41;0,3;9,5;0,4
PESCA        ;27;0,8;6,1;0,1
PESCE PERSICO       ;75;15,4;0;1,5
PESCE SPADA       ;109;16,9;1;4,2
PINOLI        ;567;29,6;5;47,8
PISELLI   freschi     ;76;7;12,4;0,2
PISTACCHI   freschi     ;390;12,8;16,4;32,6
PIZZA CON POMODORO      ;247;4;51,9;4
POLENTA        ;183;4,4;40,8;1,4
POLLO   INTERO     ;175;19,1;0;11
POLLO ALI       ;193;20,3;0;12,4
POLLO COSCIA       ;130;17,9;0;6,5
POLLO PETTO       ;97;22,2;0;0,9
POLPO        ;57;10,6;1,4;1
POMODORI DA INSALATA      ;17;1,2;2,8;0,2
POMPELMO        ;26;0,6;6,2;0
POP CORN       ;383;12,7;76,7;5
PROSCIUTTO COTTO       ;215;19,8;0,9;14,7
PROSCIUTTO CRUDO       ;370;22,2;0;31,2
PROVOLA AFFUMICATA       ;260;21,2;0;19,6
PRUGNE        ;42;0,5;10,5;0,1
RADICCHIO ROSSO       ;13;1,4;1,6;0,1
RANA PESCATRICE       ;63;12,8;0,6;1
RAPE        ;18;1;3,8;0
RICOTTA DI PECORA      ;271;8,4;3,2;25,1
RICOTTA DI VACCA      ;136;12,2;4;8
ROBIOLA        ;309;18,9;0;25,9
ROMBO        ;81;16,3;1,2;1,3
RUCOLA        ;25;2,6;2,1;0,7
SALAME DI SUINO      ;475;22,5;0;42,8
SALE da cucina      ;0;0;0;0
SALMONE        ;180;20,2;0;11
SALMONE AFFUMICATO       ;142;25,4;0;4,5
SALSICCIA DI SUINO, fresca     ;304;15,4;0,6;26,7
SCALOGNO        ;20;1,5;3,3;0,2
SCAMORZA        ;209;22,7;7,2;10,1
SCAROLA        ;15;1,6;1,7;0,2
SEDANO        ;20;2,3;2,4;0,2
SEMOLA        ;341;11,5;77,6;0,5
SEPPIA        ;72;14;0,7;1,5
SGOMBRO FILETTI SOTT'OLIO      ;201;25,3;1;10,7
SOGLIOLA        ;86;16,9;0,8;1,7
SPECK        ;301;28,3;0,5;20,9
SPIGOLA        ;82;16,5;0,6;1,5
SPINACI        ;31;3,4;3;0,7
SPREMUTA DI ARANCIA      ;33;0,5;8,2;0
SUINO BISTECCA       ;100;18,3;0;3
TACCHINO   INTERO     ;146;21;0,1;6,8
TE' in tazza      ;0;0,1;0;0,1
TIRAMISU'        ;411;13,2;33,5;25,8
TISANA IN TAZZA      ;1;0;0,2;0
TOFU        ;76;8,1;0,7;4,8
TONNO        ;158;21,5;0;8
TORTELLINI freschi       ;310;12,2;52,6;7,1
TRIGLIA        ;123;15,8;1,1;6,2
TROTA        ;86;14,7;0;3
UOVO DI GALLINA, INTERO     ;156;13;1;11,1
UVA ;61;0,5;15,6;0,1
VITELLO   CARNE MAGRA    ;92;20,7;0,1;1
VITELLONE   CARNE SEMIGRASSA    ;160;19,1;0;9,3
VONGOLA        ;72;10,2;2,2;2,5
YOGURT DI LATTE INTERO     ;63;3,5;3,6;3,9
ZAFFERANO        ;310;11,4;61,5;5,9
ZUCCA GIALLA       ;18;1,1;3,5;0,1
ZUCCHERO (Saccarosio)       ;392;0;104,5;0
ZUCCHERO DI CANNA, GREZZO     ;362;0,1;101,3;0
ZUCCHINE ;11;1,3;1,4;0,1
